nucli_id,codi_programa,nom,sigles_ud,tipus,dificultat,professorat,interesant,feina
213,682,ENGINYERIA DE SUPERFÍCIES,ENSU,OP,0,0,0,0
212,666,DISSENY I PROTOTIP DE MOTLLES,DPMO,OP,0,0,0,0
211,666,MATERIALS PER AL DISSENY,MATD,OP,0,0,0,0
210,682,ENGINYERIA FORENSE I FIABILITAT INDUSTRIAL,EFFI,OP,0,0,0,0
209,666,ENGINYERIA FORENSE I FIABILITAT INDUSTRIAL,EFFI,OP,0,0,0,0
208,682,ÀGIL,AGIL,OP,0,0,0,0
207,666,ÀGIL,AGIL,OP,0,0,0,0
206,681,ÀGIL,AGIL,OP,0,0,0,0
205,683,ÀGIL,AGIL,OP,0,0,0,0
204,1339,ÀGIL,AGIL,OP,0,0,0,0
203,682,EMOBILITY LAB,EMOL,OP,0,0,0,0
202,666,EMOBILITY LAB,EMOL,OP,0,0,0,0
201,681,EMOBILITY LAB,EMOL,OP,0,0,0,0
200,683,EMOBILITY LAB,EMOL,OP,0,0,0,0
199,1339,EMOBILITY LAB,EMOL,OP,0,0,0,0
198,682,EMOBILITY,EMOB,OP,0,0,0,0
197,666,EMOBILITY,EMOB,OP,0,0,0,0
196,681,EMOBILITY,EMOB,OP,0,0,0,0
195,683,EMOBILITY,EMOB,OP,0,0,0,0
194,1339,EMOBILITY,EMOB,OP,0,0,0,0
193,682,TALLER DE ROBÒTICA SOCIAL,TROS,OP,0,0,0,0
192,666,TALLER DE ROBÒTICA SOCIAL,TROS,OP,0,0,0,0
191,681,TALLER DE ROBÒTICA SOCIAL,TROS,OP,0,0,0,0
190,683,TALLER DE ROBÒTICA SOCIAL,TROS,OP,0,0,0,0
189,1339,TALLER DE ROBÒTICA SOCIAL,TROS,OP,0,0,0,0
188,1339,SMART CITIES,SMAC,OP,0,0,0,0
187,681,SISTEMES DE GESTIÓ DE BATERIES,SIGB,OP,0,0,0,0
186,683,SISTEMES DE GESTIÓ DE BATERIES,SIGB,OP,0,0,0,0
185,681,MOTORS I MOBILITAT ELÈCTRICA,MMEL,OP,0,0,0,0
184,683,MOTORS I MOBILITAT ELÈCTRICA,MMEL,OP,0,0,0,0
183,681,GESTIÓ I ESTALVI D'ENERGIA ELÈCTRICA,GEEL,OP,0,0,0,0
182,683,GESTIÓ I ESTALVI D'ENERGIA ELÈCTRICA,GEEL,OP,0,0,0,0
181,681,ELECTRÒNICA ALS SISTEMES D'ENERGIES RENOVABLES,ESER,OP,0,0,0,0
180,683,ELECTRÒNICA ALS SISTEMES D'ENERGIES RENOVABLES,ESER,OP,0,0,0,0
179,682,CÀLCUL D'ESTRUCTURES ASSISTIT PER ORDINADOR,CEAO,OP,0,0,0,0
178,682,INSTAL·LACIONS ELÈCTRIQUES I EFICIÈNCIA ENERGÈTICA,IEEE,OP,0,0,0,0
177,682,OPERACIÓ I PROGRAMACIÓ DE CENTRES DE MECANITZAT,OPCM,OP,0,0,0,0
176,682,TEORIA DE MAQUINES ASSISTIDA PER ORDINADOR,TMAO,OP,0,0,0,0
169,681,SISTEMES ELECTRÒNICS,SIEK-N9O10,OB,0,0,0,0
168,683,SISTEMES ELECTRÒNICS,SIEK-N9O10,OB,0,0,0,0
167,682,SISTEMES ELECTRÒNICS,SIEK-N9O10,OB,0,0,0,0
164,666,TALLER DE DISSENY III,TAD3-D6O37,OB,0,0,0,0
162,666,TALLER DE DISSENY II,TAD2-D4O17,OB,0,0,0,0
159,666,TALLER DE DISSENY I,TAD1-D3O17,OB,0,0,0,0
156,666,PROCESSOS DE FABRICACIÓ,PRFA-D5O02,OB,0,0,0,0
154,666,METODOLOGIA DEL DISSENY,MEDI-D6O17,OB,0,0,0,0
151,666,DISSENY I PRODUCTE,DIPR-D6O17,OB,0,0,0,0
147,666,DISSENY DE MECANISMES,DIME-D6O12,OB,0,0,0,0
145,666,ELASTICITAT I RESISTÈNCIA DELS MATERIALS,ELRM-D4O37,OB,0,0,0,0
143,666,FONAMENTS MATEMÀTICS,FOMA-N1O43,OB,0,0,0,0
142,681,FONAMENTS MATEMÀTICS,FOMA-N1O43,OB,0,0,0,0
141,683,FONAMENTS MATEMÀTICS,FOMA-N1O43,OB,0,0,0,0
140,682,FONAMENTS MATEMÀTICS,FOMA-N1O43,OB,0,0,0,0
137,666,EMPRESA,EMPR-N3O32,OB,0,0,0,0
136,681,EMPRESA,EMPR-N3O32,OB,0,0,0,0
135,683,EMPRESA,EMPR-N3O32,OB,0,0,0,0
134,682,EMPRESA,EMPR-N3O32,OB,0,0,0,0
123,666,DISSENY I REPRESENTACIÓ TÈCNICA,DIRT-D4O17,OB,0,0,0,0
119,666,EXPRESSIÓ ARTÍSTICA,EXAR-D3O17,OB,0,0,0,0
117,666,GESTIÓ DE PROJECTES,GEPR-N7O17,OB,0,0,0,0
116,681,GESTIÓ DE PROJECTES,GEPR-N7O17,OB,0,0,0,0
115,683,GESTIÓ DE PROJECTES,GEPR-N7O17,OB,0,0,0,0
114,682,GESTIÓ DE PROJECTES,GEPR-N7O17,OB,0,0,0,0
111,666,FÍSICA II,FIS2-N2O21,OB,0,0,0,0
110,681,FÍSICA II,FIS2-N2O21,OB,0,0,0,0
109,683,FÍSICA II,FIS2-N2O21,OB,0,0,0,0
108,682,FÍSICA II,FIS2-N2O21,OB,0,0,0,0
97,681,SOSTENIBILITAT,SOST-O1O40,OB,0,0,0,0
91,666,HABILITATS ACADÈMIQUES PER AL DESENVOLUPAMENT D'UN PROJECTE,HADP-O8P36,OP,0,0,0,0
90,681,HABILITATS ACADÈMIQUES PER AL DESENVOLUPAMENT D'UN PROJECTE,HADP-O8P36,OP,0,0,0,0
89,683,HABILITATS ACADÈMIQUES PER AL DESENVOLUPAMENT D'UN PROJECTE,HADP-O8P36,OP,0,0,0,0
88,682,HABILITATS ACADÈMIQUES PER AL DESENVOLUPAMENT D'UN PROJECTE,HADP-O8P36,OP,0,0,0,0
84,1339,HABILITATS ACADÈMIQUES PER AL DESENVOLUPAMENT D'UN PROJECTE,HADP-O8P36,OP,0,0,0,0
83,666,TÈCNIQUES DE COMUNICACIÓ ACADÈMIQUES I PROFESSIONALS,TCAP-O7P36,OP,0,0,0,0
82,681,TÈCNIQUES DE COMUNICACIÓ ACADÈMIQUES I PROFESSIONALS,TCAP-O7P36,OP,0,0,0,0
81,683,TÈCNIQUES DE COMUNICACIÓ ACADÈMIQUES I PROFESSIONALS,TCAP-O7P36,OP,0,0,0,0
80,682,TÈCNIQUES DE COMUNICACIÓ ACADÈMIQUES I PROFESSIONALS,TCAP-O7P36,OP,0,0,0,0
76,1339,TÈCNIQUES DE COMUNICACIÓ ACADÈMIQUES I PROFESSIONALS,TCAP-O7P36,OP,0,0,0,0
75,666,TÈCNIQUES D'ESCRIPTURA PER A L'ENGINYERIA,TEEE-O7P36,OP,0,0,0,0
74,681,TÈCNIQUES D'ESCRIPTURA PER A L'ENGINYERIA,TEEE-O7P36,OP,0,0,0,0
73,683,TÈCNIQUES D'ESCRIPTURA PER A L'ENGINYERIA,TEEE-O7P36,OP,0,0,0,0
72,682,TÈCNIQUES D'ESCRIPTURA PER A L'ENGINYERIA,TEEE-O7P36,OP,0,0,0,0
68,1339,TÈCNIQUES D'ESCRIPTURA PER A L'ENGINYERIA,TEEE-O7P36,OP,0,0,0,0
59,666,CIÈNCIA DELS MATERIALS,CIMA-D2O02,OB,0,0,0,0
57,666,MAQUETACIÓ I PROTOTIPATGE,MAPR-D3O17,OB,0,0,0,0
54,681,MECÀNICA DE FLUIDS,MFLU-F3P29,OP,0,0,0,0
51,683,CIÈNCIA DELS MATERIALS,CIMA-F2O02,OB,0,0,0,0
50,681,CIÈNCIA DELS MATERIALS,CIMA-F2O02,OB,0,0,0,0
48,682,CIÈNCIA DELS MATERIALS,CIMA-F2O02,OB,0,0,0,0
47,683,MECÀNICA DE FLUIDS,MFLU-F3O29,OB,0,0,0,0
46,681,MECÀNICA DE FLUIDS,MFLU-F3O29,OB,0,0,0,0
44,682,MECÀNICA DE FLUIDS,MFLU-F3O29,OB,0,0,0,0
43,683,FONAMENTS D'ENGINYERIA TÈRMICA,FENT-F3O29,OB,0,0,0,0
42,681,FONAMENTS D'ENGINYERIA TÈRMICA,FENT-F3O29,OB,0,0,0,0
40,682,FONAMENTS D'ENGINYERIA TÈRMICA,FENT-F3O29,OB,0,0,0,0
37,666,ACCESSIBILITAT APLICADA,ACAP-07P40,OP,0,0,0,0
36,682,ACCESSIBILITAT APLICADA,ACAP-07P40,OP,0,0,0,0
35,681,ACCESSIBILITAT APLICADA,ACAP-07P40,OP,0,0,0,0
34,683,ACCESSIBILITAT APLICADA,ACAP-07P40,OP,0,0,0,0
30,1339,ACCESSIBILITAT APLICADA,ACAP-07P40,OP,0,0,0,0
16,683,SOSTENIBILITAT I ACCESSIBILITAT,SOAC-O1O40,OB,0,0,0,0
15,681,SOSTENIBILITAT I ACCESSIBILITAT,SOAC-O1O40,OB,0,0,0,0
13,682,SOSTENIBILITAT I ACCESSIBILITAT,SOAC-O1O40,OB,0,0,0,0
12,666,SOSTENIBILITAT I ACCESSIBILITAT,SOAC-O1O40,OB,0,0,0,0
